Case ID,Date,Register Request,StartTime1,EndTime1,Resource1,Cost1,Check Date,StartTime2,EndTime2,Resource2,Cost2,Audit Mode ,StartTime3,EndTime3,Resource3,Cost3,Manual Review,StartTime4,EndTime4,Resource4,Cost4,Review the Reason,StartTime5,EndTime5,Resource5,Cost5,Check Ticket,StartTime6,EndTime6,Resource6,Cost6,Examine Casually,StartTime7,EndTime7,Resource7,Cost7,Examine Thoroughly,StartTime8,EndTime8,Resource8,Cost8,Decide,StartTime9,EndTime9,Resource9,Cost9,Accept,StartTime10,EndTime10,Resource10,Cost10,Reject,StartTime11,EndTime11,Resource11,Cost11,Reapply,StartTime12,EndTime12,Resource12,Cost12
1,2018/10/15,Other,9:00:02,9:00:02,None,0,No,9:00:05,9:00:05,None,0,Manual review,9:00:09,9:00:09,None,0,Accept,9:00:10,9:25:09,Senior staff,138.7962963,None,0,0,None,0,None,0,0,None,0,None,0,0,None,0,None,0,0,None,0,None,0,0,None,0,1,9:25:13,9:31:05,Intermediate staff,16.2962963,0,0,0,None,0,0,0,0,None,0
2,2018/10/15,Flight cancellation,9:00:37,9:00:37,None,0,No,9:00:42,9:00:42,None,0,Normal review,9:00:45,9:00:45,None,0,None,0,0,None,0,Real,9:00:46,9:01:39,Junior staff,1.226851852,Real,9:01:44,9:02:52,Junior staff,1.574074074,Pass,9:01:43,9:03:27,Junior staff,2.407407407,None,0,0,None,0,Accept,9:03:31,9:10:24,Senior staff,38.24074074,1,9:10:27,9:16:18,Intermediate staff,16.25,0,0,0,None,0,0,0,0,None,0
3,2018/10/15,Flight cancellation,9:00:45,9:00:45,None,0,No,9:00:50,9:00:50,None,0,Normal review,9:00:52,9:00:52,None,0,None,0,0,None,0,Real,9:00:56,9:02:48,Junior staff,2.592592593,Real,9:02:50,9:03:27,Junior staff,0.856481481,Pass,9:02:54,9:04:27,Junior staff,2.152777778,None,0,0,None,0,Accept,9:04:32,9:07:59,Senior staff,19.16666667,1,9:08:05,9:17:13,Intermediate staff,25.37037037,0,0,0,None,0,0,0,0,None,0
4,2018/10/15,Flight cancellation,9:01:03,9:01:03,None,0,No,9:01:06,9:01:06,None,0,Normal review,9:01:11,9:01:11,None,0,None,0,0,None,0,Real,9:01:15,9:02:14,Junior staff,1.365740741,Real,9:02:20,9:04:16,Junior staff,2.685185185,Pass,9:02:17,9:02:54,Junior staff,0.856481481,None,0,0,None,0,Accept,9:04:21,9:12:55,Senior staff,47.59259259,1,9:13:00,9:20:12,Intermediate staff,20,0,0,0,None,0,0,0,0,None,0
5,2018/10/15,Flight cancellation,9:01:08,9:01:08,None,0,No,9:01:10,9:01:10,None,0,Normal review,9:01:15,9:01:15,None,0,None,0,0,None,0,Fake,9:01:21,9:01:56,Junior staff,0.810185185,Real,9:01:57,9:03:06,Junior staff,1.597222222,None,0,0,None,0,Fail,9:01:58,9:10:13,Intermediate staff,22.91666667,Reject,9:10:18,9:17:35,Senior staff,40.46296296,0,0,0,None,0,1,9:17:37,9:18:22,Junior staff,1.041666667,0,0,0,None,0
6,2018/10/15,Flight delay,9:01:22,9:01:22,None,0,No,9:01:26,9:01:26,None,0,Normal review,9:01:31,9:01:31,None,0,None,0,0,None,0,Real,9:01:35,9:03:28,Junior staff,2.615740741,Real,9:03:30,9:04:13,Junior staff,0.99537037,Pass,9:03:34,9:04:40,Junior staff,1.527777778,None,0,0,None,0,Accept,9:04:44,9:11:10,Senior staff,35.74074074,1,9:11:14,9:17:21,Intermediate staff,16.99074074,0,0,0,None,0,0,0,0,None,0
7,2018/10/15,Flight cancellation,9:01:24,9:01:24,None,0,No,9:01:30,9:01:30,None,0,Normal review,9:01:36,9:01:36,None,0,None,0,0,None,0,Real,9:01:41,9:03:37,Junior staff,2.685185185,Real,9:03:38,9:05:19,Junior staff,2.337962963,Pass,9:03:40,9:05:37,Junior staff,2.708333333,None,0,0,None,0,Accept,9:05:42,9:09:53,Senior staff,23.24074074,1,9:09:57,9:16:00,Intermediate staff,16.80555556,0,0,0,None,0,0,0,0,None,0
8,2018/10/15,Flight cancellation,9:01:30,9:01:30,None,0,No,9:01:34,9:01:34,None,0,Normal review,9:01:38,9:01:38,None,0,None,0,0,None,0,Real,9:01:39,9:02:44,Junior staff,1.50462963,Real,9:02:50,9:04:09,Junior staff,1.828703704,Pass,9:02:48,9:04:44,Junior staff,2.685185185,None,0,0,None,0,Accept,9:04:48,9:07:37,Senior staff,15.64814815,1,9:07:39,9:16:56,Intermediate staff,25.78703704,0,0,0,None,0,0,0,0,None,0
9,2018/10/15,Flight cancellation,9:02:06,9:02:06,None,0,No,9:02:08,9:02:08,None,0,Normal review,9:02:10,9:02:10,None,0,None,0,0,None,0,Real,9:02:15,9:03:49,Junior staff,2.175925926,Real,9:03:51,9:05:40,Junior staff,2.523148148,Pass,9:03:51,9:04:43,Junior staff,1.203703704,None,0,0,None,0,Accept,9:05:45,9:08:41,Senior staff,16.2962963,1,9:08:45,9:17:07,Intermediate staff,23.24074074,0,0,0,None,0,0,0,0,None,0
10,2018/10/15,Flight cancellation,9:02:12,9:02:12,None,0,No,9:02:17,9:02:17,None,0,Normal review,9:02:20,9:02:20,None,0,None,0,0,None,0,Real,9:02:21,9:02:54,Junior staff,0.763888889,Real,9:02:56,9:04:36,Junior staff,2.314814815,Pass,9:02:58,9:03:38,Junior staff,0.925925926,None,0,0,None,0,Accept,9:04:40,9:09:15,Senior staff,25.46296296,1,9:09:18,9:19:17,Intermediate staff,27.73148148,0,0,0,None,0,0,0,0,None,0
11,2018/10/15,Flight cancellation,9:02:35,9:02:35,None,0,No,9:02:37,9:02:37,None,0,Normal review,9:02:40,9:02:40,None,0,None,0,0,None,0,Real,9:02:42,9:03:16,Junior staff,0.787037037,Real,9:03:18,9:04:47,Junior staff,2.060185185,Pass,9:03:20,9:04:44,Junior staff,1.944444444,None,0,0,None,0,Accept,9:04:50,9:13:07,Senior staff,46.01851852,1,9:13:08,9:19:56,Intermediate staff,18.88888889,0,0,0,None,0,0,0,0,None,0
12,2018/10/15,Other,9:02:39,9:02:39,None,0,No,9:02:41,9:02:41,None,0,Manual review,9:02:44,9:02:44,None,0,Reject,9:02:50,9:16:18,Senior staff,74.81481481,None,0,0,None,0,None,0,0,None,0,None,0,0,None,0,None,0,0,None,0,None,0,0,None,0,0,0,0,None,0,1,9:16:23,9:17:30,Junior staff,1.550925926,0,0,0,None,0
